name,voteCount,rating,address,cusine,cost,timing
NFC Food Funda,71 votes,3.9,"48, AJC Bose Road, Near Mother Teresa House, Park Street Area, Kolkata","Chinese, North Indian, Asian",₹200,12:30pm – 12midnight (Mon-Sun)
1000 BC,341 votes,3.9,"Ground Floor, 1, Camac Street, Park Street Area, Kolkata","Chinese, North Indian, Asian","₹1,000",12noon – 2am (Mon-Sun)
Eaterniaa,505 votes,4.1,"111, Ripon Street, Near Ripon Street Police Museum, Park Street Area, Kolkata",Kebab,₹500,11:30am – 12midnight (Mon-Sun)
Barista,45 votes,3.5,"57, Park Street, Park Street Area, Kolkata",Kebab,₹600,8am – 11pm (Mon-Sun)
Hot Kati Roll,816 votes,3.8,"1B, Park Estate, Park Street Area, Kolkata","Bakery, Desserts",₹200,11am – 10pm (Mon-Sun)
One Step Up,1770 votes,4.1,"18A, Park Street, Park Street Area, Kolkata","Bakery, Desserts","₹1,000",12noon – 11pm (Mon-Sun)
Domino's Pizza,99 votes,3.9,"31, Ward 63, Chowringhee Road, Shakespeare Sarani, Park Street Area, Kolkata","Continental, Chinese, North Indian",₹400,11am – 3am (Mon-Sun)
Aqua - The Park,801 votes,4.0,"The Park, 17, Park Street Area, Kolkata","Continental, Chinese, North Indian","₹3,000",
Roll It Out,80 votes,3.9,"2, Middle Row, Park Street Area, Kolkata","Chinese, Fast Food",₹350,"11am – 1am (Mon),11am – 3am (Tue-Sun)"
Paradise Biryani,Cuisines:,NEW,"Shop 30 D, Ground Floor, Building Chowringhee Mansion, Jawaharlal Nehru Road, Park Street Area, Kolkata","Chinese, Fast Food",₹800,11am – 11pm (Mon-Sun)
Nawab Dum Biryani,21 votes,3.3,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Fast Food, Burger, Healthy Food",₹500,11am – 4am (Mon-Sun)
The Bridge - The Park,676 votes,4.0,"The Park, 17, Park Street, Park Street Area, Kolkata","Fast Food, Burger, Healthy Food","₹3,000",12noon – 11pm (Mon-Sun)
Koshe Kosha,640 votes,4.0,"1/1C, Ripon Street, Muzzafar Ahmed Street, Near Free School Street, Park Street Area, Kolkata","Biryani, Mughlai",₹700,11am – 11pm (Mon-Sun)
The GT Route - Jameson Inn Shiraz,167 votes,3.9,"56, Park Street Area, Kolkata","Biryani, Mughlai",₹850,"12noon – 4pm, 7:30pm – 11:30pm (Mon-Sun)"
Aurum Club & Kitchen,577 votes,4.1,"1/1, Camac Street, Opposite Allen Park, Park Street Area, Kolkata",Cafe,"₹1,000",1pm – 2am (Mon-Sun)
Sienna Store & Cafe,Cuisines:,,"24, 1st Floor, Development House, Park Street Area, Kolkata",Cafe,₹900,
Trincas,1465 votes,4.1,"17, Park Street Area, Kolkata","Desserts, Bakery, Beverages","₹1,500",11:30am – 11:30pm (Mon-Sun)
Zen - The Park,366 votes,4.1,"The Park, 17, Park Street Area, Kolkata","Desserts, Bakery, Beverages","₹4,000",
Lost in Taste,23 votes,3.2,"115, Muzaffar Ahmed Street Adjacent, Park Street Area, Kolkata","Biryani, North Indian, Mughlai, Kebab, Rolls",₹500,12noon – 3am (Mon-Sun)
WOW! Momo,66 votes,3.9,"1, Ho Chi Minh Sarani, Opposite to Central, Park Street Area, Kolkata","Biryani, North Indian, Mughlai, Kebab, Rolls",₹350,10:30am – 10pm (Mon-Sun)
Midnight Bites,866 votes,3.7,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","North Indian, Finger Food, Chinese",₹400,6pm – 4am (Mon-Sun)
SpiceKlub,1137 votes,4.2,"1st Floor, 24, Park Street, Annex Building, Magma House Complex, Park Street Area, Kolkata","North Indian, Finger Food, Chinese","₹2,100","12noon – 3:30pm, 6:30pm – 11:30pm (Mon-Sun)"
Saffron - The Park,355 votes,4.1,"The Park, 17, Park Street Area, Kolkata","Pizza, Desserts, Fast Food","₹1,900",
Best of Gupta's,78 votes,3.6,"53C, Mirza Galib Street, New Market Area, Kolkata","Pizza, Desserts, Fast Food",₹800,11am – 11pm (Mon-Sun)
Grill & Shakes,34 votes,3.5,"94, Ripon Street, Park Street Area, Kolkata",Fast Food,₹350,12noon – 12midnight (Mon-Sun)
Leafy Affaire The Cafe,85 votes,3.9,"10 B, Sir William Jones, Sarani, Park Street Area, Kolkata",Fast Food,₹500,8am – 9pm (Mon-Sun)
Oasis,918 votes,3.8,"33, Park Street, Park Street Area, Kolkata","North Indian, Mexican, Italian, Continental, Chinese",₹900,11am – 11:30pm (Mon-Sun)
The Food King,6 votes,3.1,"94A, Ground Floor, Ripon Street, Park Street Area, Kolkata","North Indian, Mexican, Italian, Continental, Chinese",₹250,12noon – 11:30pm (Mon-Sun)
Kung Pao,159 votes,4.4,"57 A, Park Street Area, Kolkata","Pizza, Chinese, Italian, Burger, Fast Food",₹800,12:30pm – 4:30am (Mon-Sun)
Waldorf,504 votes,3.5,"13D, Park Street Area, Kolkata","Pizza, Chinese, Italian, Burger, Fast Food","₹1,000",12noon – 11pm (Mon-Sun)
Golden Dragon,1287 votes,3.9,"40A, 57, Park Mansion, Park Street Area, Kolkata","Coffee, Beverages, Tea, Fast Food, Desserts",₹600,"Closed (Mon),12noon – 10:45pm (Tue-Sun)"
Don Giovanni's Good Fellas,967 votes,4.2,"57 A, Park Street Area, Kolkata","Coffee, Beverages, Tea, Fast Food, Desserts",₹800,12:30pm – 1am (Mon-Sun)
Neelam Restaurant,16 votes,3.0,"40 B, Ground Floor, Acharya Jagadish Chandra Bose Road, Park Street Area, Kolkata",Rolls,₹300,"12noon – 4:30pm, 7:15pm – 12midnight (Mon-Sun)"
Park Pavilion - Jameson Inn Shiraz Hotel,169 votes,3.8,"56, Park Street Area, Kolkata",Rolls,"₹1,200",24 Hours (Mon-Sun)
Wabi Sabi,Cuisines:,,"24, 1st Floor, Anuj Chambers, Park Street Area, Kolkata","Continental, Seafood, Italian, North Indian",₹950,
Haldiram's Express,9 votes,2.9,"195, Park Street Area, Kolkata","Continental, Seafood, Italian, North Indian",₹350,11am – 11pm (Mon-Sun)
Silver Spoon,51 votes,3.6,"35/1A, Mcleod Street, Park Street Area, Kolkata","Pizza, Fast Food",₹400,6pm – 3am (Mon-Sun)
Crazy 4 Cakes,Cuisines:,NEW,"7/1, Russel Street, Park Street Area, Kolkata","Pizza, Fast Food",₹200,10:30am – 9:30pm (Mon-Sun)
The Cave,321 votes,4.3,"12, Russel Street Area, Kolkata",Finger Food,"₹1,200",11am – 11pm (Mon-Sun)
The Biryani Mahal,124 votes,3.5,"54/2, Rafi Ahmed, Kidwai Road, Park Street Area, Kolkata",Finger Food,₹400,11am – 4am (Mon-Sun)
Sams Pub,Cuisines:,,"13D, Park Street, Park Street Area, Kolkata","Rolls, Chinese, Fast Food","₹1,000",
Rollick,411 votes,4.2,"1A, Russel Street, Park Street Area, Kolkata","Rolls, Chinese, Fast Food",₹300,"12noon – 11pm (Mon-Fri),1pm – 11:30pm (Sat-Sun)"
UBQ by Barbeque Nation,67 votes,3.5,"1st Floor, Park Center, Building 24, Park Street Area, Kolkata","Biryani, North Indian, Mughlai",₹200,"12noon – 3pm, 6:30pm – 11pm (Mon-Sun)"
Metro Icecream,56 votes,3.7,"12A, Park Street, Park Street Area, Kolkata","Biryani, North Indian, Mughlai",₹100,10am – 10pm (Mon-Sun)
Noodle Time,217 votes,3.8,"94A, Ripon Street, Kolkata","Biryani, North Indian, Chinese",₹400,12noon – 11pm (Mon-Sun)
Parantha Pundit,Cuisines:,-,"13, Ho Chi Minh Sarani, Kankaria Estates, Park Street Area, Kolkata","Biryani, North Indian, Chinese",₹200,11am – 11pm (Mon-Sun)
Chicken King N Pizza Day,6 votes,3.0,"1, KYD Street, Palace Court, Park Street Area, Kolkata","Italian, Continental",₹300,8:30am – 11pm (Mon-Sun)
Dawat-E-Biryani,11 votes,3.2,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Italian, Continental",₹300,6pm – 4am (Mon-Sun)
Baskin Robbins,155 votes,3.9,"1, Middleton Row, Near Loreto House, Park Street Area, Kolkata",Bengali,₹300,10:30am – 9:30pm (Mon-Sun)
The Firangi Food Smith,56 votes,3.6,"12B/2, Park Street Area, Kolkata",Bengali,₹750,8am – 12midnight (Mon-Sun)
The Accord,141 votes,3.7,"The Corporate, 4, Royd Street, Park Street Area, Kolkata","North Indian, Awadhi, Bengali",₹500,7:30am – 11pm (Mon-Sun)
Rahmania,386 votes,3.5,"56, Park Street, Park Street Area, Kolkata","North Indian, Awadhi, Bengali",₹700,12noon – 10:30pm (Mon-Sun)
Happiness Station,10 votes,3.3,"Metro Plaza Mall, Near Tata Steel, Park Street Area, Kolkata","Chinese, Fast Food, North Indian, Mexican",₹300,11:30am – 9:30pm (Mon-Sun)
Biryanishk By The Biryani Company,5 votes,2.9,"43, Mirza Ghalib Street, Park Street Area, Kolkata","Chinese, Fast Food, North Indian, Mexican",₹450,11am – 12midnight (Mon-Sun)
Dreamland Restaurant & Bar,89 votes,3.7,"83A, Park Street, Park Street Area, Kolkata","Healthy Food, Salad, Juices",₹500,12noon – 10pm (Mon-Sun)
MO2,7 votes,3.1,Delivery Only,"Healthy Food, Salad, Juices",₹150,12noon – 11pm (Mon-Sun)
The Street - The Park,388 votes,3.8,"The Park, 17, Park Street, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹900,
Floriana,144 votes,3.5,"13D, Middleton Row, Park Street Area, Kolkata","Chinese, North Indian, Continental","₹1,000",11am – 11pm (Mon-Sun)
Magnolia,593 votes,3.4,"12K, Park Street, Near Park Hotel, Park Street Area, Kolkata","Chinese, Thai, Japanese","₹1,200",11am – 10:45pm (Mon-Sun)
Saiji Confectionary,32 votes,3.4,"77/1, Park Street, Park Street Area, Kolkata","Chinese, Thai, Japanese",₹150,10am – 6pm (Mon-Sun)
Bombay Toastee,34 votes,4.1,"18 G, Municipal Corporation, Park Street Area, Kolkata","North Indian, Chinese, Fast Food",₹200,8am – 11pm (Mon-Sun)
Ramesh Chilla Wala,6 votes,3.1,"Russel Street, Near Bombay Dyeing, Park Street Area, Kolkata","North Indian, Chinese, Fast Food",₹100,4pm – 10pm (Mon-Sun)
The Good Food Cafe,10 votes,3.2,"18G, Park Street Area, Kolkata","Tibetan, Momos","₹1,200",8am – 9pm (Mon-Sun)
The Hot Kati Roll,7 votes,3.1,"23, Mcleod Street, Park Street Area, Kolkata","Tibetan, Momos",₹250,12noon – 3am (Mon-Sun)
Universal Cafe,10 votes,3.2,"23 A, Royd Street, Park Street Area, Kolkata","Chinese, Pizza, Burger",₹300,12noon – 11pm (Mon-Sun)
Arambagh Restaurant,4 votes,3.0,"45, Mirza Ghalib Street, Kolkata, Park Street Area, Kolkata","Chinese, Pizza, Burger",₹250,11am – 11pm (Mon-Sun)
Shireen Biryani And Fast Food,6 votes,3.0,"40/1, Rafi Ahmed Kidwai Road, Park Street Area, Kolkata",North Indian,₹350,12:30pm – 12midnight (Mon-Sun)
Rajnigandha Bar,10 votes,3.2,"13D, Middleton Row, Park Street Area, Kolkata",North Indian,"₹1,300",11am – 11pm (Mon-Sun)
Yippee Point,35 votes,3.4,"77/1,  Park Street Area, Kolkata","North Indian, Bengali",₹150,"11am – 8pm (Mon-Sat),Closed (Sun)"
Grill Sandwich & Juice,35 votes,3.6,"23/A, Royd Street, Park Street Area, Kolkata","North Indian, Bengali",₹400,"8am – 9pm (Mon-Sat),Closed (Sun)"
Cafe Coffee Day Square,79 votes,3.4,"55 Park Street, Park Street Area, Kolkata","North Indian, Chinese, Fast Food",₹700,8am – 12midnight (Mon-Sun)
Danish Biryani Hub,18 votes,3.3,"189, Park Street Area, Kolkata","North Indian, Chinese, Fast Food",₹200,11am – 11pm (Mon-Sun)
Wow Chicken,11 votes,3.3,"11, Mistry Para Lane, Beniapukur, Near Park Circus Area, Kolkata","Beverages, Fast Food",₹200,12noon – 4am (Mon-Sun)
Schezwan Kitchen,13 votes,3.3,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Beverages, Fast Food",₹250,6pm – 4am (Mon-Sun)
Burger Bites,52 votes,3.5,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Salad, Italian, Burmese, Mexican",₹200,6pm – 4am (Mon-Sun)
Silver Grill,324 votes,2.3,"18E, Park Street, Park Street Area, Kolkata","Salad, Italian, Burmese, Mexican",₹800,11am – 11pm (Mon-Sun)
Suruchi,45 votes,3.5,"89, Elliot Road, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹200,"10:30am – 5:45pm (Mon-Fri),10:30am – 4pm..."
Starlit Garden Bar,61 votes,3.5,"31, Park Street, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹500,12noon – 11pm (Mon-Sun)
The Roll Shop,33 votes,3.2,"31, Park Street, Park Street Area, Kolkata","Chinese, Bengali",₹250,11am – 11pm (Mon-Sun)
Sweet Temptations,8 votes,3.1,"Flat 2B, 2nd Floor, Sitar Building, Commissariate Road, Hastings, Park Street Area, Kolkata","Chinese, Bengali",₹150,10am – 10pm (Mon-Sun)
Balaram Mullick & Radharaman Mullick Sweets,495 votes,4.1,"22, Park Street, Park Street Area, Kolkata","Chinese, Thai",₹300,10am – 9pm (Mon-Sun)
Baba Fast Food,43 votes,3.4,"27B, Park Street, Park Street Area, Kolkata","Chinese, Thai",₹300,12noon – 10:30pm (Mon-Sun)
Deja Bowl,34 votes,3.6,Delivery Only,"Chinese, Asian",₹300,12noon – 11:30pm (Mon-Sun)
The Pancake Centre,30 votes,3.6,"Food Court, Metro Shopping Centre, 1 Ho Chi Minh Sarani, Park Street Area, Kolkata","Chinese, Asian",₹200,12noon – 9:30pm (Mon-Sun)
Middy's Chef Roll,50 votes,3.6,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Chinese, Cantonese",₹250,6pm – 4am (Mon-Sun)
Kaveh - House Of Nawabs,6 votes,3.2,"85, Park Street Area, Kolkata","Chinese, Cantonese",₹400,12noon – 2am (Mon-Sun)
Adraq,17 votes,3.4,"SilverKey Executive Stays 30334, 163 A, Terrace Floor, Park Street Main Road, Park Street Area, Kolkata","Italian, Thai, Chinese, Burger",₹300,11am – 11pm (Mon-Sun)
Rise And Shine,Cuisines:,-,Delivery Only,"Italian, Thai, Chinese, Burger",₹400,8am – 9pm (Mon-Sun)
Haan 'D' Biryani,332 votes,3.8,"55, Ripon Street, Park Street Area, Kolkata","North Indian, Mughlai, Biryani",₹400,1pm – 10pm (Mon-Sun)
Ilish Truly Bong Restaurant,137 votes,4.0,"83 B, Park Street Area, Kolkata","North Indian, Mughlai, Biryani","₹1,200",12noon – 11pm (Mon-Sun)
Juice+,29 votes,3.2,"94, Ripon Street, Park Street Area, Kolkata","North Indian, Continental, South Indian, Chinese",₹200,11am – 11pm (Mon-Sun)
The Biryani Inc.,49 votes,4.2,Delivery Only,"North Indian, Continental, South Indian, Chinese",₹400,12noon – 1am (Mon-Sun)
Lazeez Express,Cuisines:,-,"Hotel Royal Garden, 163A, Park Street Main Road, Park Street Area, Kolkata","Italian, Continental",₹500,12noon – 4am (Mon-Sun)
Chopstick,Cuisines:,-,"67, Elliot Road, Park Street Area, Kolkata","Italian, Continental",₹150,11am – 11pm (Mon-Sun)
The Co Dee Empresa Hotel,Cuisines:,-,"12/2A, KYD Street, Park Street Area, Kolkata","North Indian, Street Food, Bengali",₹100,7:30am – 10:30pm (Mon-Sun)
The Fast Food Center,Cuisines:,-,"1, Camac Street, Park Street Area, Kolkata","North Indian, Street Food, Bengali",₹200,11am – 10pm (Mon-Sun)
Subway,535 votes,3.8,"57A, Park Mansion, Park Street Area, Kolkata",Chinese,₹500,12noon – 10pm (Mon-Sun)
Burger Bros,Cuisines:,-,"10B, Sir William Jones Sarani, Park Street Area, Kolkata",Chinese,₹350,8am – 9pm (Mon-Sun)
Tasty Tales,Cuisines:,-,"10B, Sir William Jones Sarani, Park Street Area, Kolkata","Bakery, Desserts, Fast Food",₹350,"8am – 9pm (Mon-Sat),11am – 9pm (Sun)"
The Cafe Harmony,Cuisines:,-,"4, Royd Street, Opposite Royd Nursing Home, Park Street Area, Kolkata","Bakery, Desserts, Fast Food","₹1,000",12noon – 10:30pm (Mon-Sun)
The Food Corner,Cuisines:,,"1, Waliullah Lane, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹150,
Pizza Gully,Cuisines:,-,"13, Ho Chi Minh Sarani, Kankaria Estates, Tata Centre, Metro Shopping Plaza, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹400,12noon – 11pm (Mon-Sun)
Uddta Punjab Dhaba,233 votes,4.2,"57 A, 1st Floor, Park Street Area, Kolkata","Biryani, North Indian",₹650,12noon – 4am (Mon-Sun)
The Burger Factory,71 votes,4.1,"57 A, Park Street Area, Kolkata","Biryani, North Indian",₹500,12noon – 4am (Mon-Sun)
Bhikharam Chandmal,76 votes,3.4,"46 C, Rafi Ahmed Kidwai Road, Park Street Area, Kolkata","North Indian, Chinese, Continental",₹200,8am – 9pm (Mon-Sun)
Wok This Way,Cuisines:,-,"20, 1st & 2nd Floor, Mirza Ghalib Street Park Street Area, Kolkata","North Indian, Chinese, Continental",₹250,12noon – 11pm (Mon-Sun)
Momma's Soup,Cuisines:,-,"10B, Sir William Jones Sarani, Park Street Area, Kolkata","Ice Cream, Desserts",₹350,8am – 9pm (Mon-Sun)
Kolkata Taj Biryani,6 votes,3.3,"110/A, Ground Floor, Ripon Street, Park Street Area, Kolkata","Ice Cream, Desserts",₹150,11am – 11pm (Mon-Sun)
Bombay Restaurant,Cuisines:,NEW,"Ground Floor, 114A, Park Street Area, Kolkata","North Indian, Biryani, Kebab, BBQ, Desserts",₹400,11am – 11pm (Mon-Sun)
Naasta On Wheels,Cuisines:,NEW,"8/1A, Little Russel Street, Park Street Area, Kolkata","North Indian, Biryani, Kebab, BBQ, Desserts",₹500,11am – 11pm (Mon-Sun)
Zam Zam,1728 votes,4.3,"28/A, Syed Amir Ali Avenue, Park Circus Area, Kolkata",Ice Cream,₹700,12noon – 12midnight (Mon-Sun)
Mezban,2305 votes,3.8,"6, Ripon Street, Near Triangular Park, Wellesley, Kolkata",Ice Cream,₹500,10am – 12:59am (Mon-Sun)
Blue And Beyond,2515 votes,3.9,"The Lindsay, 8A & 8B, Lindsay Street, New Market Area, Kolkata",Chinese,"₹1,600",12noon – 11pm (Mon-Sun)
The Awadh Restaurant,1837 votes,4.2,"17, Park Circus Area, Kolkata",Chinese,₹900,11am – 12midnight (Mon-Sun)
Chowman,1169 votes,4.4,"3, Ho Chi Minh Sarani, Little Rusell Street Post Office, Camac Street Area, Kolkata","North Indian, Beverages","₹1,000",12noon – 10:30pm (Mon-Sun)
Oh! Calcutta,1910 votes,4.4,"10/3, 4th Floor, Forum Mall, Elgin Road, Elgin, Kolkata","North Indian, Beverages","₹1,800","12:45pm – 3pm, 7pm – 11pm (Mon-Fri),12noon –..."
Royal Indian Restaurant,2010 votes,4.1,"24A, Syed Amir Ali Avenue, Park Circus Area, Kolkata","Fast Food, North Indian, Chinese",₹700,11am – 1am (Mon-Sun)
Saima Restaurant,1502 votes,3.6,"59E, Chowringhee Road, Near Rabindra Sadan Metro, Elgin, Kolkata","Fast Food, North Indian, Chinese",₹500,10:30am – 10:30pm (Mon-Sun)
TGI Fridays,2398 votes,4.2,"Forum Mall, 10/3, Elgin Road, Elgin, Kolkata","Biryani, North Indian, Fast Food","₹1,800",12noon – 12midnight (Mon-Sun)
ACS Chinese Flavour,845 votes,3.6,"8, Elliot Road, Near Loreto Day School, Wellesley, Kolkata","Biryani, North Indian, Fast Food",₹350,12noon – 11pm (Mon-Sun)
Hogg's Room,615 votes,4.3,"Hotel Lindsay, 8A & 8B, Lindsay Street, New Market Area, Kolkata","Ice Cream, Desserts, Beverages",₹800,1pm – 9pm (Mon-Sun)
Zafran,333 votes,3.8,"28/2C, Hare Krishna Konar Road, Entally, Kolkata","Ice Cream, Desserts, Beverages",₹300,12:30pm – 12midnight (Mon-Sun)
New Noodle King,250 votes,4.5,"28/H/23, Sir Sayed Ahmed Road, Poddopukur Moidan, Near Alisa Asiana Hall, Park Circus Area, Kolkata","Chinese, Italian, Continental",₹450,11am – 3am (Mon-Sun)
Kabuliwala,92 votes,4.1,"172, 7, Acharya Jagadish Chandra Bose Road, Park Circus Area, Kolkata","Chinese, Italian, Continental",₹600,12noon – 11:30pm (Mon-Sun)
Dosa Coffee,173 votes,4.2,"11/1, Ideal Plaza, Sarat Bose Road, Elgin, Kolkata","North Indian, Chinese",₹400,9am – 7pm (Mon-Sun)
Bombay Shiv Sagar,1394 votes,4.1,"1st Floor, Pantaloons Building, Block B, 22, Camac Street Area, Kolkata","North Indian, Chinese",₹650,11am – 10:45pm (Mon-Sun)
Cakes,580 votes,4.1,"42A, Rawdon Street, Loudon Street Area, Kolkata","Biryani, Mughlai, North Indian",₹250,7:30am – 10pm (Mon-Sun)
Nizam's,2423 votes,3.8,"23/24, Hogg Street, New Market Area, Kolkata","Biryani, Mughlai, North Indian",₹450,11:30am – 11pm (Mon-Sun)
Raj Spanish Cafe,1342 votes,4.1,"7, Ground Floor, Sudder Street, New Market Area, Kolkata","Ice Cream, Beverages",₹600,8am – 10pm (Mon-Sun)
Haji Saheb,964 votes,3.9,"26, Circus Avenue, Park Circus Area, Kolkata","Ice Cream, Beverages",₹800,12noon – 1am (Mon-Sun)
Zeeshan,1564 votes,3.9,"17, Syed Amir Ali Avenue, Park Circus Area, Kolkata","Biryani, Mughlai",₹600,12noon – 12midnight (Mon-Sun)
Sunset Resto Bar Lounge,198 votes,4.4,"Lytton Hotel, 14 & 14/1, Sudder Street, New Market Area, Kolkata","Biryani, Mughlai","₹1,300","12:30pm – 12midnight (Mon, Tue, Wed, Thu, Sun)..."
Charcoal Grill,962 votes,4.0,"102 A & B, Park Street, Park Circus Area, Kolkata","North Indian, Mughlai, Bengali, Chinese",₹850,12noon – 11:30pm (Mon-Sun)
Stardom,243 votes,4.1,"6B, Elgin Road, Near Bhawanipore College, Elgin, Kolkata","North Indian, Mughlai, Bengali, Chinese","₹1,000","12midnight – 4am, 8am – 12midnight (Mon-Sun)"
Cafe Mezzuna,3763 votes,4.5,"10/3, 4th Floor, Forum Mall, Elgin Road, Elgin, Kolkata","Fast Food, North Eastern, Momos","₹1,600","12:30pm – 11pm (Mon),12noon – 11pm (Tue-Sun)"
New Lazeez Biryani,94 votes,3.5,"29/H/16, Linton Street, Near Bell Masjid, Park Circus Area, Kolkata","Fast Food, North Eastern, Momos",₹250,12noon – 3am (Mon-Sun)
The Bhoj Company,609 votes,4.1,"30A, Free School Street, New Market Area, Kolkata",Cafe,₹500,12noon – 10:30pm (Mon-Sun)
Berezia,125 votes,4.3,"40A, AJC Bose Road, Opposite Nonapukur Tram Depot, Wellesley, Kolkata",Cafe,₹250,"12noon – 11pm (Mon),10am – 11pm (Tue-Fri),11am..."
Be Kebabii,259 votes,4.6,"60 A, Dr. Suresh Sarkar Road, Opposite Nihon Apartment, Puddapukur Maiden, Entally, Kolkata","North Indian, Chinese",₹300,11am – 12midnight (Mon-Sun)
The Salt House,501 votes,4.0,"40, 6th Floor, Shakespeare Sarani, Shakespeare Point, Theatre Road, Kolkata","North Indian, Chinese","₹1,800","12noon – 11:30pm (Mon),12noon – 12midnight..."
The Bikers Cafe,3156 votes,4.1,"31, 1st Floor, Platinum Mall, Elgin Road, Elgin, Kolkata","Chinese, North Indian, Continental","₹1,100",7:30am – 11pm (Mon-Sun)
Indies,926 votes,4.3,"24A, Shakespeare Sarani, Camac Street Area, Kolkata","Chinese, North Indian, Continental",₹850,12noon – 11pm (Mon-Sun)
